Fieldwork End,Lega Nord,Partito Democratico,Movimento 5 Stelle,Fratelli d’Italia,Forza Italia,La Sinistra,Più Europa,Italia Viva,Azione,Europa Verde
2018-03-18,19.9,18.3,34.1,4.0,12.4,2.9,2.0,,,
2018-03-25,20.1,18.2,34.2,4.0,12.4,2.8,2.0,,,
2018-04-01,20.5,18.1,34.2,4.0,12.3,2.7,1.9,,,
2018-04-08,20.9,18.1,34.2,4.0,12.2,2.6,1.9,,,
2018-04-15,21.3,18.1,34.0,4.0,12.1,2.6,1.9,,,
2018-04-22,21.6,18.1,33.7,4.0,12.1,2.6,1.9,,,
2018-04-29,21.9,17.9,33.3,4.1,12.2,2.7,1.9,,,
2018-05-06,22.2,17.9,32.8,4.1,12.2,2.8,1.8,,,
2018-05-13,22.6,18.0,32.2,4.1,12.3,2.9,1.8,,,
2018-05-20,23.2,18.1,31.6,4.0,12.2,2.8,1.8,,,
2018-05-27,24.0,18.2,31.3,3.9,11.8,2.6,1.9,,,
2018-06-03,25.0,18.4,31.0,3.8,11.3,2.5,1.9,,,
2018-06-10,25.9,18.7,30.5,3.7,10.9,2.5,1.9,,,
2018-06-17,27.4,18.9,29.4,3.7,10.5,2.5,1.9,,,
2018-06-24,28.1,18.8,29.0,3.7,10.3,2.6,1.9,,,
2018-07-01,28.4,18.7,28.9,3.7,10.1,2.6,2.0,,,
2018-07-08,28.8,18.3,29.1,3.8,9.5,2.6,2.0,,,
2018-07-15,29.1,18.1,29.3,3.8,9.2,2.6,2.1,,,
2018-07-22,29.3,18.0,29.5,3.8,9.0,2.6,2.1,,,
2018-07-29,29.5,17.9,29.7,3.8,8.9,2.6,2.1,,,
2018-08-05,29.6,17.8,29.9,3.8,8.9,2.6,2.1,,,
2018-08-12,30.1,17.6,29.6,3.7,9.0,2.6,2.1,,,
2018-08-19,30.5,17.4,29.3,3.7,9.2,2.6,2.1,,,
2018-08-26,31.0,17.2,29.0,3.7,9.3,2.6,2.1,,,
2018-09-02,31.5,17.1,28.7,3.6,9.4,2.6,2.1,,,
2018-09-09,31.7,17.2,28.9,3.5,9.3,2.5,2.0,,,
2018-09-16,31.8,17.0,28.9,3.5,9.3,2.6,2.0,,,
2018-09-23,32.0,16.8,29.0,3.5,9.2,2.6,2.1,,,
2018-09-30,32.1,16.6,29.1,3.5,9.1,2.6,2.1,,,
2018-10-07,31.9,16.6,29.2,3.5,9.0,2.6,2.1,,,
2018-10-14,31.5,16.8,28.8,3.7,9.1,2.6,2.2,,,
2018-10-21,31.2,17.0,28.3,3.7,9.1,2.7,2.2,,,
2018-10-28,31.1,17.3,27.9,3.7,8.9,2.7,2.3,,,
2018-11-04,31.2,17.5,27.6,3.7,8.8,2.7,2.4,,,
2018-11-11,31.3,17.6,27.3,3.7,8.9,2.7,2.4,,,
2018-11-18,31.6,17.7,26.9,3.7,8.9,2.6,2.4,,,
2018-11-25,32.1,17.8,26.5,3.7,9.0,2.4,2.4,,,
2018-12-02,32.4,17.8,26.3,3.8,9.0,2.2,2.4,,,
2018-12-09,32.5,17.6,26.3,3.9,9.1,2.3,2.4,,,
2018-12-16,32.4,17.3,26.4,4.0,9.2,2.5,2.5,,,
2018-12-23,32.1,17.1,26.6,4.0,9.2,2.6,2.5,,,
2018-12-30,31.7,17.5,26.5,3.9,9.4,2.7,2.5,,,
2019-01-06,31.8,17.6,26.0,4.0,9.4,2.7,2.5,,,
2019-01-13,31.8,17.8,25.6,4.0,9.4,2.6,2.6,,,
2019-01-20,31.8,17.8,25.5,4.1,9.3,2.7,2.6,,,
2019-01-27,31.8,17.7,25.5,4.2,9.4,2.7,2.7,,,
2019-02-03,32.1,17.6,25.1,4.3,9.5,2.8,2.9,,,
2019-02-10,32.6,17.6,24.5,4.3,9.5,2.8,3.0,,,
2019-02-17,33.1,17.8,23.8,4.4,9.6,2.7,3.1,,,
2019-02-24,33.3,18.1,23.2,4.4,9.8,2.6,3.1,,,
2019-03-03,33.2,18.8,22.5,4.4,10.1,2.5,3.2,,,
2019-03-10,33.0,19.4,22.3,4.3,10.2,2.4,3.1,,,
2019-03-17,32.8,20.1,22.0,4.4,10.2,2.3,3.1,,,
2019-03-24,32.7,20.6,21.6,4.5,10.1,2.3,3.1,,,
2019-03-31,32.6,20.8,21.4,4.6,10.0,2.4,3.0,,,
2019-04-07,32.5,20.9,21.4,4.8,10.0,2.6,3.0,,,
2019-04-14,32.6,20.9,21.6,5.0,9.9,2.7,3.0,,,
2019-04-21,32.7,20.9,21.8,5.2,9.6,2.8,3.1,,,
2019-04-28,32.4,21.1,21.9,5.2,9.5,2.9,3.1,,,
2019-05-05,31.7,21.1,22.2,5.2,9.5,2.7,3.2,,,
2019-05-12,31.2,21.1,22.4,5.2,9.5,2.6,3.3,,,
2019-05-19,32.6,21.9,20.8,5.6,9.0,2.3,3.2,,,
2019-05-26,34.0,22.7,19.2,6.1,8.4,2.0,3.0,,,
2019-06-02,35.4,23.5,17.6,6.6,7.8,1.8,2.9,,,
2019-06-09,35.4,23.5,17.8,6.6,7.6,1.7,2.8,,,
2019-06-16,35.4,23.4,17.9,6.7,7.5,1.7,2.8,,,
2019-06-23,35.7,23.4,17.9,6.9,7.5,1.7,2.7,,,
2019-06-30,36.2,23.5,17.9,7.0,7.4,1.5,2.5,,,
2019-07-07,36.6,23.3,18.1,6.8,7.2,1.5,2.5,,,
2019-07-14,36.6,23.0,18.2,6.6,7.2,1.5,2.6,,,
2019-07-21,36.6,22.6,18.3,6.4,7.2,1.6,2.7,,,
2019-07-28,36.9,22.3,18.0,6.5,7.2,1.7,2.7,,,
2019-08-04,37.2,22.3,17.6,6.7,7.1,1.8,2.6,,,
2019-08-11,36.4,22.7,18.2,6.9,6.8,1.6,2.6,,,
2019-08-18,35.3,23.1,18.8,7.1,6.6,1.5,2.5,,,
2019-08-25,33.0,23.4,19.7,7.3,6.6,1.9,2.8,,,
2019-09-01,32.4,23.3,20.2,7.2,6.7,2.2,2.9,,,
2019-09-08,32.3,22.9,20.5,7.2,6.7,2.3,2.8,,,1.5
2019-09-15,32.4,22.0,20.3,7.3,6.7,2.3,2.6,,1.5,1.5
2019-09-22,32.3,20.9,20.0,7.5,6.6,2.3,2.3,4.4,1.3,1.6
2019-09-29,32.0,20.2,19.9,7.6,6.6,2.2,2.1,4.4,1.2,1.7
2019-10-06,31.7,19.9,19.7,7.7,6.6,2.1,2.0,4.5,1.2,1.8
2019-10-13,31.8,19.8,19.4,7.8,6.6,2.0,1.9,4.6,1.2,1.8
2019-10-20,32.3,19.6,18.8,8.0,6.7,2.0,1.9,4.8,1.2,1.7
2019-10-27,33.0,19.3,18.2,8.4,6.9,2.0,1.8,4.9,1.1,1.7
2019-11-03,33.2,19.0,17.6,8.9,6.9,2.1,1.8,5.0,1.1,1.7
2019-11-10,33.3,19.0,17.1,9.2,7.0,2.1,1.8,5.0,1.2,1.6
2019-11-17,33.4,19.0,16.8,9.4,6.9,2.1,1.8,5.1,1.2,1.6
2019-11-24,33.3,19.1,16.5,9.5,6.9,2.1,1.8,5.0,1.4,1.5
2019-12-01,33.2,19.0,16.3,9.8,6.9,2.2,1.8,4.8,1.6,1.5
2019-12-08,32.8,18.9,16.2,10.1,6.8,2.3,1.7,4.6,1.9,1.5
2019-12-15,32.4,18.8,16.1,10.3,6.8,2.4,1.7,4.5,2.1,1.5
2019-12-22,32.2,18.7,16.1,10.3,6.7,2.5,1.7,4.5,2.2,1.6
2019-12-29,32.1,18.7,16.1,10.4,6.6,2.6,1.7,4.5,2.3,1.7
2020-01-05,31.7,19.0,16.0,10.5,6.7,2.6,1.7,4.4,2.3,1.7
2020-01-12,31.3,19.2,15.9,10.6,6.8,2.6,1.8,4.3,2.2,1.7
2020-01-19,31.3,19.3,15.7,10.7,6.8,2.7,1.9,4.3,2.2,1.7
2020-01-26,31.3,19.6,15.2,10.9,6.6,2.8,2.0,4.2,2.2,1.8
2020-02-02,31.2,20.2,14.7,11.2,6.3,2.8,2.0,4.1,2.2,1.8
2020-02-09,30.9,20.4,14.5,11.4,6.2,2.8,2.0,4.1,2.2,1.8
2020-02-16,30.6,20.5,14.4,11.7,6.1,2.8,1.9,4.2,2.2,1.8
2020-02-23,30.5,20.6,14.4,11.9,6.1,2.7,1.9,4.2,2.2,1.8
2020-03-01,30.4,20.8,14.4,12.2,6.1,2.7,1.9,4.0,2.1,1.9
2020-03-08,30.0,21.0,14.4,12.5,6.0,2.7,1.9,3.8,2.1,1.9
2020-03-15,29.7,21.2,14.3,12.7,6.0,2.8,1.9,3.6,2.1,1.9
2020-03-22,29.5,21.4,14.3,12.9,6.0,2.8,1.8,3.6,2.0,1.8
2020-03-29,29.4,21.5,14.4,13.0,6.1,2.8,1.8,3.5,2.0,1.8
2020-04-05,29.2,21.4,14.5,13.0,6.2,2.9,1.8,3.5,2.0,1.8
2020-04-12,28.8,21.4,14.7,13.2,6.2,3.0,1.8,3.6,2.1,1.8
2020-04-19,28.3,21.4,14.9,13.4,6.3,2.9,1.7,3.5,2.1,1.8
2020-04-26,27.9,21.4,15.2,13.6,6.5,2.8,1.7,3.5,2.1,1.8
2020-05-03,27.4,21.4,15.5,13.8,6.6,2.7,1.7,3.4,2.2,1.7
2020-05-10,27.0,21.3,15.6,14.0,6.6,2.7,1.7,3.4,2.2,1.7
2020-05-17,26.7,21.2,15.6,14.2,6.7,2.7,1.7,3.3,2.3,1.7
2020-05-24,26.6,21.0,15.6,14.4,6.9,2.7,1.7,3.2,2.4,1.7
2020-05-31,26.5,20.8,15.6,14.6,6.9,2.6,1.7,3.2,2.5,1.7
2020-06-07,26.5,20.5,15.6,14.6,7.0,2.5,1.7,3.2,2.7,1.7
2020-06-14,26.3,20.3,15.7,14.5,7.0,2.5,1.7,3.2,2.8,1.7
2020-06-21,26.2,20.3,15.8,14.5,7.0,2.6,1.8,3.2,2.8,1.7
2020-06-28,26.2,20.4,15.8,14.5,6.9,2.7,1.8,3.2,2.8,1.7
2020-07-05,26.2,20.6,15.6,14.6,6.8,2.8,1.8,3.1,2.8,1.7
2020-07-12,26.1,20.7,15.5,14.6,6.8,2.9,1.9,3.1,2.8,1.7
2020-07-19,25.7,20.5,15.7,14.9,6.8,3.0,1.9,2.9,2.9,1.7
2020-07-26,25.5,20.4,15.9,15.1,6.8,3.1,1.8,2.8,2.8,1.7
2020-08-02,25.4,20.4,15.9,15.0,6.8,3.1,1.8,2.8,2.9,1.7
2020-08-09,25.4,20.4,16.0,14.9,6.7,3.1,1.8,2.9,3.0,1.6
2020-08-16,25.3,20.4,16.8,15.0,6.4,3.0,1.9,3.1,3.1,1.7
2020-08-23,25.6,20.4,16.2,15.0,6.5,3.1,1.8,3.0,2.9,1.6
2020-08-30,25.9,20.4,15.6,15.0,6.6,3.1,1.8,2.9,2.8,1.6
2020-09-06,26.0,20.4,15.4,15.0,6.6,3.1,1.7,2.9,2.8,1.6
2020-09-13,25.8,20.6,15.5,15.2,6.5,3.1,1.7,3.0,2.8,1.6
2020-09-20,25.5,20.7,15.5,15.4,6.4,3.0,1.7,3.0,2.8,1.7
2020-09-27,25.2,20.9,15.6,15.7,6.4,3.0,1.7,3.1,2.8,1.7
2020-10-04,24.9,21.0,15.5,15.7,6.4,3.0,1.7,3.1,2.9,1.7
2020-10-11,24.7,21.0,15.4,15.8,6.4,3.0,1.8,3.2,2.9,1.7
